working_index0,csv_row_index0,x,y,rx_time,selected_receivers,official_error_m,rssfit_stable_error_m,rssfit_prior_default_error_m,official_x,official_y,rssfit_x,rssfit_y
43412,102615,598703.771588716,5676647.877883384,2019-01-30T08:25:38.778664506+01:00,9;5;6;32;34,956.5171789710116,4347.295222822755,4347.295018917238,597754.5737598198,5676765.982054714,602936.282638089,5677640.261867189
34548,81433,597548.2463300787,5672662.76220581,2019-02-04T10:42:08.698766996+01:00,18;25;69;27,360.7282534957982,1647.5385489672472,1647.2715550642386,597428.4811384373,5673003.028530534,598521.5057668542,5673992.10389968
45967,108555,598567.4808287359,5676206.898875573,2019-01-22T11:04:21.172162922+01:00,32;4;5;20,654.9272627494245,3480.5168208068762,3480.5176851199603,597912.5543190129,5676205.905721724,601991.7768104596,5675583.846414322
9732,22749,600429.4105480444,5674215.001346921,2019-02-02T11:50:06.624275266+01:00,2;17;7;70;9,1623.344261918872,4026.0933097049583,4025.092496411734,599863.5894938875,5672693.458338203,602854.6407497862,5671001.329645111
22750,53498,599106.5228627934,5672417.190061361,2019-01-03T17:32:27.066+01:00,10;2;69,183.85193339422446,421.7014872255311,422.07634975558057,599275.6861364832,5672489.199229161,599481.62138806,5672609.889933366
20989,49231,597874.0061709726,5674264.942479375,2019-01-22T10:56:58.543065433+01:00,27;32;18,338.98209945016197,4289.018889556985,4288.9689653233845,597714.7673975878,5673965.690283395,601230.0162787976,5676935.6875423025
54055,127320,599116.4095714461,5672367.7315216735,2019-01-22T11:06:28.900+01:00,10;2;1,177.73004945316944,466.0009606515182,465.6406754476298,599251.1265792592,5672483.659509168,599185.7124168345,5672828.550369974
10211,23820,599089.7648024299,5674725.351773352,2019-02-05T10:50:10.539+01:00,14;32;4,789.8435172191693,3581.413637633925,3581.569890243494,598647.3058421701,5675379.632179737,602662.9210639797,5674968.411384102
3341,7644,599127.6027264567,5672412.928955644,2019-01-04T12:59:05.842+01:00,10;2;69,109.01420134869107,658.4758846355629,657.7600737942373,599209.5224104801,5672484.854343827,598920.7297305686,5673038.06418439
40645,96073,599400.1269350293,5674327.791074387,2019-01-04T08:18:40.972+01:00,17;9;11;12;18;27;69;2,26.289242739351685,3609.262755708945,3610.9663823061637,599401.1615221471,5674301.5221971115,602017.8359680694,5676812.620456475
54685,128817,597872.3468294131,5675990.325260852,2019-01-25T07:54:28.402917370+01:00,9;20;5;14;19,186.3583485439359,2979.6839743738033,2979.6942099630073,597952.8767694935,5675822.264668141,600851.4332881396,5676049.994839133
2914,6603,599783.9315435952,5675008.6911343075,2019-01-16T10:09:34.801+01:00,9;2;12;27,625.516961251617,2999.8198959330894,2999.8198959330894,599345.8922513667,5674562.1566482065,602514.341473129,5676251.180983256
4118,9516,597881.3502039298,5674444.158748113,2019-01-14T11:24:51.645842514+01:00,32;27;18,203.8130652580834,3445.9930819661613,3445.921400573775,597746.7837307119,5674291.084812201,601099.883582651,5675675.382209153
12278,28734,598531.3965363937,5673267.983914498,2019-01-04T10:09:02.80419507+01:00,2;14;69;18;27,360.1663944977259,3382.041130979844,3381.9180786558836,598867.7898691464,5673396.667081249,601907.3544427998,5673065.226853429
50563,119286,595480.3708558417,5675192.038169174,2019-01-22T14:46:55.298149770+01:00,19;5;25;32,452.20556620094936,3501.690254379696,3501.690477317247,595917.4593362582,5675076.091912701,592681.7027872772,5677296.626413847
23308,54824,598306.7231599039,5676033.851427146,2019-01-04T08:00:35.10392538+01:00,14;9;32;20,916.2905989669615,4454.726561952031,4454.201136190539,598678.1670112842,5675196.225062335,602601.7462511506,5674851.749321819
38459,90896,598536.6581724504,5676382.838167762,2019-01-23T08:49:16.353099986+01:00,14;20;32;19,1213.3001348209177,3235.580020596308,3234.6607315051633,598240.3765373633,5675206.26925356,601195.5660427747,5674539.149743215
52700,124136,598601.3664586616,5676358.620250149,2018-12-31T08:34:50.759805469+01:00,9;20;71,5761.906239685478,3536.6544275648175,3536.6544275648175,596891.6944680046,5670856.203944625,602005.8562322594,5675400.823861827
17295,40515,599127.6141470441,5672372.615628428,2019-02-05T14:16:06.785+01:00,10;2;69,229.6232650878401,1291.6017635551452,1292.050851902188,599311.7174903904,5672509.848287946,600418.7201983483,5672336.834629216
5531,12829,599426.5279097601,5676965.67624485,2019-01-30T10:22:28.720875361+01:00,5;14;9;11;17;4;27,972.5801134431678,3745.1106123743684,3745.4609943564224,598831.1631709132,5676196.616491123,603113.8743697547,5677620.908709617
18862,44189,598841.2612530339,5675236.150544095,2019-01-02T14:01:21.34793386+01:00,14;9;12;27,148.30446207430535,4049.702186138681,4049.9512471760154,598987.4054924409,5675210.930021513,602838.9968240092,5675882.832924383
8826,20574,597132.217579186,5673452.228075073,2019-01-24T10:16:12.420+01:00,27;18;25,434.2285177029278,3230.4887246719086,3230.2390361912394,597564.4241707926,5673410.372755718,599645.2811121906,5675482.146565879
35664,84008,598670.1507572922,5676413.411510513,2019-01-05T13:47:46.683+01:00,14;4;6;11;32;34,978.0739205673148,4117.058869614973,4117.193879925672,598075.6718482798,5677190.086101853,602732.7318994519,5677080.95042267
30665,72232,597669.4972216816,5674317.910304344,2019-01-16T08:13:45.413+01:00,32;14;27;19,404.05048804739664,3000.1798224050826,3000.5041706626585,597692.9832318495,5674721.277635964,600253.0355926163,5675843.167152444
