experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
removal_23_4,FP_removal_on_survivors,paired_messages,6000,1796,1796,1796,1796,-0.08428268287616447,0.9995774042127406,-15.348714219465528,21.567702554979466,0.9246395276980905,1.1122143653952004
removal_23_4,MinMax_removal_on_survivors,paired_messages,6000,1796,1796,1796,1796,-16.818645125004196,0.9642880762164289,-36.69383709992194,1.1509201657582249,0.9251129194626577,1.002509584567178
removal_23_4,MinMax_minus_FP_on_survivors,paired_messages,6000,1796,1796,1796,1796,254.77842337906532,2.278006396216306,224.74364212979197,282.7433174308949,2.0356105643102875,2.519840295171931
removal_23_4,FP_removal_on_survivors,spatial_1000m,6000,1796,36,434,5815,-0.08428268287616447,0.9995774042127406,-13.372459722328482,31.70005449333199,0.903318264086313,1.1466636045279945
removal_23_4,MinMax_removal_on_survivors,spatial_1000m,6000,1796,36,434,5815,-16.818645125004196,0.9642880762164289,-59.11588713295659,14.891532879862597,0.897228890738201,1.036372233442067
removal_23_4,MinMax_minus_FP_on_survivors,spatial_1000m,6000,1796,36,434,5815,254.77842337906532,2.278006396216306,107.7692846351623,324.9070230196471,1.5343049026522657,5.890648666374257
removal_23_5,FP_removal_on_survivors,paired_messages,6000,972,972,972,972,24.34225994285245,1.096386213126613,-1.4575549382653021,49.737350436622684,0.9943441834176714,1.2080447276646333
removal_23_5,MinMax_removal_on_survivors,paired_messages,6000,972,972,972,972,95.31804622340394,1.1572065168426748,38.61242396258258,154.0117105923783,1.0633325550332886,1.2573281726147512
removal_23_5,MinMax_minus_FP_on_survivors,paired_messages,6000,972,972,972,972,424.75035636546573,2.5339959330448636,355.91694897690417,492.1501773421379,2.263571116946575,2.8408241967078953
removal_23_5,FP_removal_on_survivors,spatial_1000m,6000,972,34,236,2737,24.34225994285245,1.096386213126613,-2.1001142386470186,121.28428203457747,0.9856311373927182,1.465410962960175
removal_23_5,MinMax_removal_on_survivors,spatial_1000m,6000,972,34,236,2737,95.31804622340394,1.1572065168426748,-98.37480587654456,283.75405116405506,0.6946229704214829,1.3887329123632646
removal_23_5,MinMax_minus_FP_on_survivors,spatial_1000m,6000,972,34,236,2737,424.75035636546573,2.5339959330448636,134.74108092819876,668.3373170463323,1.556571253030642,6.056165610411262
removal_23_6,FP_removal_on_survivors,paired_messages,6000,997,997,997,997,38.617647957130885,1.130218530969835,3.0587638890277518,71.694343939196,1.0094978496561364,1.2520272864540063
removal_23_6,MinMax_removal_on_survivors,paired_messages,6000,997,997,997,997,108.89194862277157,1.1573768605516352,63.38792226435601,139.82864495980843,1.0889419277216843,1.20723371748271
removal_23_6,MinMax_minus_FP_on_survivors,paired_messages,6000,997,997,997,997,465.6324098457773,2.389209517845314,408.5950571196134,514.3760970361193,2.1443566344561518,2.6244553274412423
removal_23_6,FP_removal_on_survivors,spatial_1000m,6000,997,32,322,2163,38.617647957130885,1.130218530969835,-32.54555257857148,75.72694771255517,0.8559278083678888,1.2605341249223228
removal_23_6,MinMax_removal_on_survivors,spatial_1000m,6000,997,32,322,2163,108.89194862277157,1.1573768605516352,15.708519495007986,195.661462270719,1.024131868699232,1.2728850724993919
removal_23_6,MinMax_minus_FP_on_survivors,spatial_1000m,6000,997,32,322,2163,465.6324098457773,2.389209517845314,308.19410248481927,596.8465755488176,1.7182846303263255,4.593906286583308
removal_23_7,FP_removal_on_survivors,paired_messages,6000,1069,1069,1069,1069,15.268920129891569,1.0473722148909446,-11.644644613436267,44.41410978032793,0.9655441466138164,1.1439587924003694
removal_23_7,MinMax_removal_on_survivors,paired_messages,6000,1069,1069,1069,1069,-43.92755027100907,0.9339271427246169,-77.81491411541602,-13.173326325261073,0.8844797519696278,0.9797569153933446
removal_23_7,MinMax_minus_FP_on_survivors,paired_messages,6000,1069,1069,1069,1069,283.3205086958072,1.8392518970949956,241.21563148592296,327.56875283800116,1.6807279577807313,2.0271317414681906
removal_23_7,FP_removal_on_survivors,spatial_1000m,6000,1069,37,231,2801,15.268920129891569,1.0473722148909446,-8.08951806911197,52.26615785409124,0.9767827991921615,1.152058019994634
removal_23_7,MinMax_removal_on_survivors,spatial_1000m,6000,1069,37,231,2801,-43.92755027100907,0.9339271427246169,-90.3871273332281,38.37306853705686,0.8682853147995059,1.0569770459594356
removal_23_7,MinMax_minus_FP_on_survivors,spatial_1000m,6000,1069,37,231,2801,283.3205086958072,1.8392518970949956,173.86354934877704,447.6925491712174,1.4335422186285194,2.476013751987802
removal_16_0,FP_removal_on_survivors,paired_messages,6000,690,690,690,690,52.124250267305,1.1659216460276265,17.464342951389096,88.90692580179025,1.0522421029489541,1.305578278192968
removal_16_0,MinMax_removal_on_survivors,paired_messages,6000,690,690,690,690,4.2203346339640575,1.0061885892694322,-63.212888276873976,51.0871995646699,0.9128186653710904,1.075873284647753
removal_16_0,MinMax_minus_FP_on_survivors,paired_messages,6000,690,690,690,690,319.90052493573523,1.873391203599742,273.8455756733086,372.2103145708874,1.7159518734198087,2.0583035936456002
removal_16_0,FP_removal_on_survivors,spatial_1000m,6000,690,27,132,1895,52.124250267305,1.1659216460276265,-0.3322529374060893,143.42268072410747,0.9992123891208089,1.409788316889077
removal_16_0,MinMax_removal_on_survivors,spatial_1000m,6000,690,27,132,1895,4.2203346339640575,1.0061885892694322,-90.59130095191286,140.526635600648,0.8743916553142912,1.2166874373439245
removal_16_0,MinMax_minus_FP_on_survivors,spatial_1000m,6000,690,27,132,1895,319.90052493573523,1.873391203599742,219.70272995609892,407.4875694203805,1.4758520334279794,2.10331823926506
removal_16_1,FP_removal_on_survivors,paired_messages,6000,960,960,960,960,85.81147512412986,1.308232219847665,51.378207376617304,108.48427558071435,1.1747133658769855,1.4035760133913842
removal_16_1,MinMax_removal_on_survivors,paired_messages,6000,960,960,960,960,-58.54882608162677,0.9091512308009786,-89.27920005422715,-19.84231888613627,0.8637257664125307,0.9690254616362111
removal_16_1,MinMax_minus_FP_on_survivors,paired_messages,6000,960,960,960,960,221.70562927281765,1.6087297758892452,188.39242676191992,271.6015586624808,1.5001460833423657,1.7845719387924415
removal_16_1,FP_removal_on_survivors,spatial_1000m,6000,960,31,277,2278,85.81147512412986,1.308232219847665,48.177742696720046,123.13637237065065,1.145676121960189,1.5613169388002608
removal_16_1,MinMax_removal_on_survivors,spatial_1000m,6000,960,31,277,2278,-58.54882608162677,0.9091512308009786,-149.79694479724492,78.52514147496069,0.7769967268689433,1.1240008856908281
removal_16_1,MinMax_minus_FP_on_survivors,spatial_1000m,6000,960,31,277,2278,221.70562927281765,1.6087297758892452,164.03525624035944,367.18040912000885,1.439761380324337,2.2643456497585404
removal_16_2,FP_removal_on_survivors,paired_messages,6000,807,807,807,807,15.823779210583155,1.0472597788130207,-18.676253801510082,46.11069104545539,0.9464793980044478,1.141724299441
removal_16_2,MinMax_removal_on_survivors,paired_messages,6000,807,807,807,807,-60.963451470430414,0.9113103946692169,-113.02188471780595,-28.341904426812903,0.8425009060913247,0.9579956709278861
removal_16_2,MinMax_minus_FP_on_survivors,paired_messages,6000,807,807,807,807,275.7671599051783,1.7864472392543809,227.87858802023203,324.23473307941936,1.6243101090736225,1.9977227086650367
removal_16_2,FP_removal_on_survivors,spatial_1000m,6000,807,33,223,2268,15.823779210583155,1.0472597788130207,-18.895842890863737,90.96760943545192,0.9492857158830462,1.2336353704683913
removal_16_2,MinMax_removal_on_survivors,spatial_1000m,6000,807,33,223,2268,-60.963451470430414,0.9113103946692169,-159.3047895126052,62.75364032298748,0.7725599226842257,1.0908348092576803
