experiment,contrast,numerator_arm,denominator_arm,scheme,n_messages,replicates,n_units,draw_size_min,draw_size_max,numerator_median_m,denominator_median_m,point_difference_m,point_ratio,difference_low_m,difference_high_m,ratio_low,ratio_high,numerator_worse_fraction,exact_ties,nonpositive_difference_draws
no71,assignment:DIFF_median,rssfit_stable:DIFF_median,official:DIFF_median,paired_messages,2493,6000,2493,2493,2493,1611.4167897843547,1003.4028574107342,608.0139323736205,1.605951964241552,523.0657466354946,693.4058174590876,1.4958089198265772,1.7192600492926018,0.7059767348576013,0,0
no71,assignment:HYBRID_mean,rssfit_stable:HYBRID_mean,official:HYBRID_mean,paired_messages,2493,6000,2493,2493,2493,1225.798663132137,575.0609749615489,650.7376881705882,2.1315977200749874,596.7122863777103,698.0885953891315,1.9963119576357211,2.256409801745601,0.779783393501805,0,0
no71,assignment:NLLS,rssfit_stable:NLLS,official:NLLS,paired_messages,2493,6000,2493,2493,2493,1201.8578931852549,518.6011836162054,683.2567095690495,2.3174993254058953,621.9883233971677,732.8906954596641,2.174475920739321,2.4389976834092324,0.8038507821901324,0,0
no71,assignment:Trilat,rssfit_stable:Trilat,official:Trilat,paired_messages,2493,6000,2493,2493,2493,1708.859917853748,584.2565901583599,1124.603327695388,2.9248449168379422,1028.3517305891826,1210.9826062213172,2.7235217174024773,3.1280569000373664,0.7785800240673887,0,0
no71,assignment:MinMax,rssfit_stable:MinMax,official:MinMax,paired_messages,2493,6000,2493,2493,2493,2111.3614804502936,465.808146845612,1645.5533336046815,4.532684743167632,1521.6124009190164,1779.910289578074,4.210725469750356,4.844548187752543,0.9221821099077416,0,0
no71,official_vs_raw:WCL_bc,official:WCL_bc,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,582.1997800181365,479.4601660745637,102.7396139435728,1.2142818553305952,77.55841579934898,131.5919136587729,1.1596724049337535,1.2788107696692368,0.4817488969113518,0,0
no71,official_vs_raw:ABS_mean,official:ABS_mean,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,527.690987738094,479.4601660745637,48.23082166353032,1.1005940119247146,17.97662143949832,77.02116223150469,1.0366772165446205,1.1682273923771775,0.4717208182912154,0,7
no71,official_vs_raw:DIFF_median,official:DIFF_median,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,1003.4028574107342,479.4601660745637,523.9426913361706,2.0927762688312446,464.7252100675874,589.2080806855815,1.9584491249026867,2.2490176817802645,0.6401925391095066,0,0
no71,official_vs_raw:HYBRID_mean,official:HYBRID_mean,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,575.0609749615489,479.4601660745637,95.60080888698525,1.1993925995347814,60.474885318183965,133.81052524745374,1.1225837399265963,1.2879534927442107,0.49217809867629364,0,0
no71,official_vs_raw:NLLS,official:NLLS,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,518.6011836162054,479.4601660745637,39.1410175416417,1.0816355983482362,12.115451902149923,71.42799445852043,1.0247057888362896,1.155532872281016,0.48896911351785,0,23
no71,official_vs_raw:Trilat,official:Trilat,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,584.2565901583599,479.4601660745637,104.79642408379624,1.218571701048255,70.93222588601685,139.28084039172327,1.1437858133455867,1.2981734550374118,0.5972723626153229,0,0
no71,official_vs_raw:MinMax,official:MinMax,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,465.808146845612,479.4601660745637,-13.652019228951701,0.9715262701785562,-38.84661504696529,13.752129322339488,0.9206579638814624,1.0301261778836142,0.37625350982751704,0,5093
no71,official_vs_raw:FP_k3,coordinate_independent:FP_k3,official:WCL_raw,paired_messages,2493,6000,2493,2493,2493,219.29225647763056,479.4601660745637,-260.1679095969331,0.45737325432688214,-282.6800727286486,-233.96249856346864,0.42958793656633487,0.489940586423346,0.18772563176895307,0,6000
no71,assignment:WCL_raw,rssfit_stable:WCL_raw,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,3623.7337930322697,479.4601660745637,3144.273626957706,7.557945475847354,1078.3569899366246,3424.4850184002394,5.222297464592236,10.190655426372631,0.9899719213798637,0,0
no71,assignment:WCL_bc,rssfit_stable:WCL_bc,official:WCL_bc,spatial_500m,2493,6000,107,974,5799,3112.7412287798347,582.1997800181365,2530.541448761698,5.346517356435394,644.8107115321459,2961.227545246987,3.8768716671426064,7.16167184085521,0.9787404733253109,0,0
no71,assignment:ABS_mean,rssfit_stable:ABS_mean,official:ABS_mean,spatial_500m,2493,6000,107,974,5799,1244.7414770108212,527.690987738094,717.0504892727272,2.358845434041441,654.3778230195916,1018.2179267203545,2.0175775651405754,3.775980248126413,0.8110709987966306,0,0
no71,assignment:DIFF_median,rssfit_stable:DIFF_median,official:DIFF_median,spatial_500m,2493,6000,107,974,5799,1611.4167897843547,1003.4028574107342,608.0139323736205,1.605951964241552,429.6638498789928,919.7281968646242,1.2932626717063385,4.179622343452816,0.7059767348576013,0,0
no71,assignment:HYBRID_mean,rssfit_stable:HYBRID_mean,official:HYBRID_mean,spatial_500m,2493,6000,107,974,5799,1225.798663132137,575.0609749615489,650.7376881705882,2.1315977200749874,574.6474240115634,874.1947836188748,1.7592509319606495,3.751869392758468,0.779783393501805,0,0
